Constructor_Name,Constructor_Name,Wins
Sauber,Swiss,302
HRT,Spanish,84
Marussia,Russian,0
Lotus,Malaysian,21
Caterham,Malaysian,8
Toyota,Japanese,13
Super Aguri,Japanese,0
Honda,Japanese,232
Toro Rosso,Italian,693
Minardi,Italian,445
Ferrari,Italian,2064
Benetton,Italian,1029
AlphaTauri,Italian,10
Alfa Romeo,Italian,187
Jordan,Irish,914
Force India,Indian,2
Mercedes,German,2148
BMW Sauber,German,529
Renault,French,643
Prost,French,13
Spyker,Dutch,0
Williams,British,813
Virgin,British,0
Stewart,British,52
Racing Point,British,2
McLaren,British,1651
Manor Marussia,British,0
Lotus F1,British,211
Jaguar,British,86
Brawn,British,232
BAR,British,180
Arrows,British,0
Red Bull,Austrian,779
Haas F1 Team,American,0